file,slot,part,color,example_instance,all_interchangeable_candidates
plates/O-white-01-NOT_SLICED.3mf,17,B-2x4,white,O-031,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-01-NOT_SLICED.3mf,18,B-2x4,white,O-032,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-01-NOT_SLICED.3mf,19,B-2x4,white,O-033,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,1,B-2x4,white,O-034,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,2,B-2x4,white,O-035,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,3,B-2x4,white,O-036,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,4,B-2x4,white,O-039,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,5,B-2x4,white,O-040,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,6,B-2x4,white,O-041,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,7,B-2x4,white,O-042,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,8,B-2x4,white,O-043,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,9,B-2x4,white,O-044,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,10,B-2x4,white,O-047,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,11,B-2x4,white,O-048,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,12,B-2x4,white,O-049,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,13,B-2x4,white,O-050,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,14,B-2x4,white,O-051,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,15,B-2x4,white,O-052,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,16,B-2x4,white,O-055,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,17,B-2x4,white,O-056,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,18,B-2x4,white,O-057,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,19,B-2x4,white,O-058,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,20,B-2x4,white,O-059,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,21,B-2x4,white,O-060,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,22,B-2x4,white,O-063,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,23,B-2x4,white,O-064,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,24,B-2x4,white,O-065,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,25,B-2x4,white,O-066,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,26,B-2x4,white,O-067,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,27,B-2x4,white,O-068,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,28,B-2x4,white,O-075,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,29,B-2x4,white,O-076,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,30,B-2x4,white,O-078,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,31,B-2x4,white,O-080,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,32,B-2x4,white,O-081,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,33,B-2x4,white,O-083,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,34,B-2x4,white,O-125,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,35,B-2x4,white,O-126,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,36,B-2x4,white,O-127,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,37,B-2x4,white,O-129,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,38,B-2x4,white,O-131,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,39,B-2x4,white,O-132,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,40,B-2x4,white,O-134,O-031;O-032;O-033;O-034;O-035;O-036;O-039;O-040;O-041;O-042;O-043;O-044;O-047;O-048;O-049;O-050;O-051;O-052;O-055;O-056;O-057;O-058;O-059;O-060;O-063;O-064;O-065;O-066;O-067;O-068;O-075;O-076;O-078;O-080;O-081;O-083;O-125;O-126;O-127;O-129;O-131;O-132;O-134
plates/O-white-02-NOT_SLICED.3mf,41,B-2x2,white,O-019,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-02-NOT_SLICED.3mf,42,B-2x2,white,O-020,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-02-NOT_SLICED.3mf,43,B-2x2,white,O-021,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-02-NOT_SLICED.3mf,44,B-2x2,white,O-022,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-02-NOT_SLICED.3mf,45,B-2x2,white,O-023,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-02-NOT_SLICED.3mf,46,B-2x2,white,O-024,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-02-NOT_SLICED.3mf,47,B-2x2,white,O-025,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-02-NOT_SLICED.3mf,48,B-2x2,white,O-026,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-02-NOT_SLICED.3mf,49,B-2x2,white,O-027,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-02-NOT_SLICED.3mf,50,B-2x2,white,O-028,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-02-NOT_SLICED.3mf,51,B-2x2,white,O-029,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-02-NOT_SLICED.3mf,52,B-2x2,white,O-030,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-02-NOT_SLICED.3mf,53,B-2x2,white,O-037,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-02-NOT_SLICED.3mf,54,B-2x2,white,O-038,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-03-NOT_SLICED.3mf,1,B-2x2,white,O-045,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-03-NOT_SLICED.3mf,2,B-2x2,white,O-046,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-03-NOT_SLICED.3mf,3,B-2x2,white,O-053,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-03-NOT_SLICED.3mf,4,B-2x2,white,O-054,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
plates/O-white-03-NOT_SLICED.3mf,5,B-2x2,white,O-061,O-019;O-020;O-021;O-022;O-023;O-024;O-025;O-026;O-027;O-028;O-029;O-030;O-037;O-038;O-045;O-046;O-053;O-054;O-061;O-062;O-069;O-070;O-077;O-079;O-082;O-084;O-128;O-130;O-133;O-135
